stname,tractfips,Tract_2000,Tract_2010,municipality,city_neighborhood,est_obesity_rate,is_pittsburgh
Pennsylvania,42003270400,270400,,Pittsburgh  ,Marshall-Shadeland,0.606853235,1
Pennsylvania,42003270800,270800,,Pittsburgh  ,Brighton Heights,0.292287303,1
Pennsylvania,42003271500,271500,,Pittsburgh  ,Marshall-Shadeland,0.353353216,1
Pennsylvania,42003281400,281400,,Pittsburgh  ,Crafton Heights,0.344212543,1
Pennsylvania,42003281500,281500,,Pittsburgh  ,Crafton Heights,0.293820022,1
Pennsylvania,42003290100,290100,,Pittsburgh  ,Carrick,0.307687359,1
Pennsylvania,42003290200,290200,,Pittsburgh  ,Carrick,0.310517328,1
Pennsylvania,42003290400,290400,,Pittsburgh  ,Carrick,0.296869432,1
Pennsylvania,42003300100,300100,,Pittsburgh  ,Knoxville,0.390726631,1
Pennsylvania,42003310200,310200,,Pittsburgh  ,Lincoln Place,0.308693843,1
Pennsylvania,42003310300,310300,,Pittsburgh  ,New Homestead,0.316983455,1
Pennsylvania,42003320400,320400,,Pittsburgh  ,Overbrook,0.310046649,1
Pennsylvania,42003320600,320600,,Pittsburgh  ,Brookline,0.279139614,1
Pennsylvania,42003320700,320700,,Pittsburgh  ,Overbrook,0.294503447,1
Pennsylvania,42003401100,401100,,Harrison  ,,0.287400559,0
Pennsylvania,42003401200,401200,,Harrison  ,,0.319547136,0
Pennsylvania,42003401300,401300,,Harrison  ,,0.277777399,0
Pennsylvania,42003402000,402000,,Brackenridge ,,0.293869863,0
Pennsylvania,42003403500,403500,,Tarentum ,,0.301383809,0
Pennsylvania,42003404000,404000,,East Deer  ,,0.285544851,0
Pennsylvania,42003405000,405000,,Frazer  ,,0.302236384,0
Pennsylvania,42003406000,406000,,Fawn  ,,0.297646987,0
Pennsylvania,42003407001,407001,,West Deer  ,,0.295120457,0
Pennsylvania,42003407002,407002,,West Deer  ,,0.24920572,0
Pennsylvania,42003408001,408001,,Richland  ,,0.241090845,0
Pennsylvania,42003408002,408002,,Richland  ,,0.229468598,0
Pennsylvania,42003409000,409000,,Pine  ,,0.186492832,0
Pennsylvania,42003410000,410000,,Bradford Woods ,,0.169647079,0
Pennsylvania,42003411000,411000,,Marshall  ,,0.168018771,0
Pennsylvania,42003412001,412001,,Franklin Park ,,0.18523749,0
Pennsylvania,42003412002,412002,,Franklin Park ,,0.180747833,0
Pennsylvania,42003413100,413100,,McCandless  ,,0.184320312,0
Pennsylvania,42003413201,413201,,McCandless  ,,0.217441036,0
Pennsylvania,42003413202,413202,,McCandless  ,,0.209900075,0
Pennsylvania,42003413300,413300,,McCandless  ,,0.226590277,0
Pennsylvania,42003413400,413400,,McCandless  ,,0.199769233,0
Pennsylvania,42003413500,413500,,McCandless  ,,0.22090451,0
Pennsylvania,42003414101,414101,,Hampton  ,,0.225529666,0
Pennsylvania,42003414102,414102,,Hampton  ,,0.229246436,0
Pennsylvania,42003414200,414200,,Hampton  ,,0.221216893,0
Pennsylvania,42003415001,415001,,Indiana  ,,0.253933139,0
Pennsylvania,42003415002,415002,,Indiana  ,,0.228948162,0
Pennsylvania,42003416000,416000,,Springdale  ,,0.299291762,0
Pennsylvania,42003417100,417100,,Springdale ,,0.300268288,0
Pennsylvania,42003417200,417200,,Springdale ,,0.299905661,0
Pennsylvania,42003418000,418000,,Cheswick ,,0.275244316,0
Pennsylvania,42003419000,419000,,Harmar  ,,0.281508479,0
Pennsylvania,42003420000,420000,,Blawnox ,,0.256566085,0
Pennsylvania,42003421100,421100,,O'Hara  ,,0.20881598,0
Pennsylvania,42003421200,421200,,O'Hara  ,,0.204272327,0
Pennsylvania,42003422000,422000,,Fox Chapel ,,0.144489801,0
Pennsylvania,42003423000,423000,,Aspinwall ,,0.196464215,0
Pennsylvania,42003424000,424000,,Sharpsburg ,,0.300086701,0
Pennsylvania,42003425000,425000,,Etna ,,0.279191196,0
Pennsylvania,42003426300,426300,,Shaler  ,,0.260053481,0
Pennsylvania,42003426400,426400,,Shaler  ,,0.261909163,0
Pennsylvania,42003426700,426700,,Millvale ,,0.251654138,0
Pennsylvania,42003426800,426800,,Shaler  ,,0.256507232,0
Pennsylvania,42003427000,427000,,Shaler  ,,0.30979523,0
Pennsylvania,42003427100,427100,,Shaler  ,,0.259363806,0
Pennsylvania,42003427200,427200,,Shaler  ,,0.294905805,0
Pennsylvania,42003428100,428100,,Reserve  ,,0.295929631,0
Pennsylvania,42003428200,428200,,Reserve  ,,0.298014815,0
Pennsylvania,42003429100,429100,,Ross  ,,0.246798792,0
Pennsylvania,42003429201,429201,,Ross  ,,0.216467265,0
Pennsylvania,42003429202,429202,,Ross  ,,0.231577996,0
Pennsylvania,42003429300,429300,,Ross  ,,0.259079609,0
Pennsylvania,42003429400,429400,,Ross  ,,0.249928487,0
Pennsylvania,42003429500,429500,,Ross  ,,0.244087567,0
Pennsylvania,42003429600,429600,,Ross  ,,0.247170356,0
Pennsylvania,42003429700,429700,,Ross  ,,0.284032198,0
Pennsylvania,42003430100,430100,,West View ,,0.256048622,0
Pennsylvania,42003430200,430200,,West View ,,0.265307399,0
Pennsylvania,42003431100,431100,,Bellevue ,,0.269698291,0
Pennsylvania,42003431400,431400,,Bellevue ,,0.265042796,0
Pennsylvania,42003431500,431500,,Bellevue ,,0.268247858,0
Pennsylvania,42003432300,432300,,Avalon ,,0.282805184,0
Pennsylvania,42003432400,432400,,Avalon ,,0.282743448,0
Pennsylvania,42003434000,434000,,Ben Avon ,,0.201778543,0
Pennsylvania,42003435000,435000,,Emsworth ,,0.252509848,0
Pennsylvania,42003437000,437000,,Ohio  ,,0.210425186,0
Pennsylvania,42003439000,439000,,Bell Acres ,,0.25172106,0
Pennsylvania,42003445500,445500,,Sewickley ,,0.236936226,0
Pennsylvania,42003446000,446000,,Edgeworth ,,0.150777567,0
Pennsylvania,42003447000,447000,,Leet  ,,0.254156656,0
Pennsylvania,42003448000,448000,,Leetsdale ,,0.287161824,0
Pennsylvania,42003449000,449000,,Crescent  ,,0.288332458,0
Pennsylvania,42003450700,450700,,Coraopolis ,,0.281856356,0
Pennsylvania,42003450800,450800,,Coraopolis ,,0.319853211,0
Pennsylvania,42003451102,451101,,Moon  ,,0.224635265,0
Pennsylvania,42003451102,451102,,Moon  ,,0.258520745,0
Pennsylvania,42003451103,451103,451104 & 451105,Moon  ,,0.240861593,0
Pennsylvania,42003452000,451300,,Moon  ,,0.224289129,0
